"","Year","Ceremony","Category","Nominee","Additional.Info","Won.Academy.Award","Film","Artist","Film.ID"
"129","2010","2010 (83rd)","Scientific and Technical (Technical Achievement Award)","To GREG ERCOLANO for the design and engineering of a series of software systems culminating in the Rush render queue management system. Mr. Ercolano's work has been influential across the industry, and has enabled scalable render farms at numerous studios. [Digital Imaging Technology]","","YES",NA,NA,NA
"130","2010","2010 (83rd)","Scientific and Technical (Technical Achievement Award)","To DAVID M. LAUR for the development of the Alfred render queue management system. This system was the first robust, scalable, widely adopted commercial solution for queue management in the motion picture industry. Its user interface and support for multi-machine assignment influenced the design of modern day queue management tools. [Digital Imaging Technology]","","YES",NA,NA,NA
"131","2010","2010 (83rd)","Scientific and Technical (Technical Achievement Award)","To CHRIS ALLEN, GAUTHAM KRISHNAMURTI, MARK A. BROWN and LANCE KIMES for the development of Queue, a robust, scalable approach to render queue management. Queue was one of the first systems that allowed for statistical analysis and process introspection, providing a framework for the efficient use of render farms. [Digital Imaging Technology]","","YES",NA,NA,NA
"132","2010","2010 (83rd)","Scientific and Technical (Technical Achievement Award)","To FLORIAN KAINZ for the design and development of the robust, highly scalable distributed architecture of the ObaQ render queue management system. ObaQ has scaled from managing a few hundred processors in 1997 to many thousands today, with minimal changes to the original design. [Digital Imaging Technology]","","YES",NA,NA,NA
"133","2010","2010 (83rd)","Scientific and Technical (Technical Achievement Award)","To ERIC TABELLION and ARNAULD LAMORLETTE for the creation of a computer graphics bounce lighting methodology that is practical at feature film scale. This important step in the evolution of global illumination techniques, first used on the motion picture Shrek 2"," was shared with the industry in their technical paper An Approximate Global Illumination System for Computer Generated Films."" [Digital Imaging Technology]""","NO",NA,NA,NA
"134","2010","2010 (83rd)","Scientific and Technical (Technical Achievement Award)","To TONY CLARK, ALAN ROGERS, NEIL WILSON and RORY McGREGOR for the software design and continued development of cineSync, a tool for remote collaboration and review of visual effects. Easy to use, cineSync has become a widely accepted solution for remote production collaboration. [Systems]","","YES",NA,NA,NA
"135","2010","2010 (83rd)","Scientific and Technical (Bonner Medal)","To Denny Clairmont in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.","","YES",NA,NA,NA
"136","2009","2009 (82nd)","Actor -- Leading Role","Jeff Bridges","Crazy Heart {'Bad Blake'}","YES","Crazy Heart","Jeff Bridges","Crazy Heart (2009)"
"137","2009","2009 (82nd)","Actor -- Leading Role","George Clooney","Up in the Air {'Ryan Bingham'}","NO","Up in the Air","George Clooney","Up in the Air (2009)"
"138","2009","2009 (82nd)","Actor -- Leading Role","Colin Firth","A Single Man {'George'}","NO","A Single Man","Colin Firth","A Single Man (2009)"
